WHR13NAME,pixels,acres
Hardwood Forest,4979215,1107351.7397838284
Shrub,4973568,1106095.876103598
Conifer Forest,4739277,1053990.7658672065
Herbaceous,1958363,435529.8325495641
Hardwood Woodland,1859017,413435.79444505076
Conifer Woodland,297290,66115.76297073622
Desert Woodland,207573,46163.164812555515
Barren/Other,163540,36370.45267662619
Agriculture,90446,20114.72399896131
Water,75281,16742.106200006707
Desert Shrub,71014,15793.14740355835
Urban,55091,12251.954313366845
Wetland,40126,8923.815483076329
