FIRE_NAME,acres_geom,sev1_acres,sev2_acres,sev3_acres,sev4_acres,sev5_acres,sev6_acres,burned_acres
AUGUST COMPLEX,1032700.2264732296,146720.9947734863,309439.96260122914,287858.32221572613,292474.5719785287,710.9963140954748,49.37165521713963,1036493.8515689702
SCU LIGHTNING COMPLEX,396822.7446174342,32512.124539859728,196304.1474866237,143201.37398309688,26192.775066909177,64.71689940625059,171.24402935674556,398210.4210764895
CREEK,379845.6818303523,39097.23585057822,164000.40691495524,115603.73069093244,60624.389499467696,81.39651265528425,1092.8482600766854,379325.7629559336
NORTH COMPLEX,318798.7328979129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HENNESSEY,305349.3491497872,97435.62875555502,98228.02158230578,73658.72887163587,33392.808119408706,4097.847383022589,446.5688453874612,302715.1873289054
CASTLE,170648.45323321936,25283.62494741518,67605.5860261399,56902.167006813346,22384.263375046492,12.454111225945132,7.33902982957481,172175.64135541493
SLATER,157429.77784988238,14629.132793619121,34964.47247715432,26269.05649816809,81593.55448646618,17.124402935674556,285.3325839801358,157456.2162554077
RED SALMON COMPLEX,143836.684228684,13329.234934411099,58896.826356554455,44441.82872525524,28925.11811194421,0.4447896866408976,0.0,145593.008128165
DOLAN,124529.6166875796,11630.58312112951,28397.597543588105,41374.33665133629,42381.562896734606,159.67949750408224,0.0,123784.08021278851
BOBCAT,115997.76129211928,16980.068682359586,47928.97986851988,38723.390118956544,12180.34317381766,33.581621341387766,2.891132963165834,115812.78184365366
CZU LIGHTNING COMPLEX,86554.09836595097,7744.233234104668,26557.28021511139,22387.15450800966,28880.86153812344,157.90033875751863,48.03728615721694,85569.52949534915
W-5 COLD SPRINGS,84817.14757489672,16282.860848549979,51175.72218615511,13499.811779237882,2048.478901824654,17.346797778995004,684.5313277403413,83006.87371576762
CALDWELL,81224.01518848204,3947.063679251325,63171.92242970344,10126.971585439956,4105.631202538805,0.2223948433204488,0.0,81351.58889693352
GLASS,67484.36509800276,9649.045067144312,21203.124362171588,21056.34376558009,15305.435512156606,762.5919177458189,155.4539954809937,67213.9487070526
ZOGG,56338.01310574987,1382.62874092323,32430.283237517804,15923.470781744134,6764.13915959145,27.13217088509475,79.83974875204112,56500.52191977662
WALBRIDGE,55209.065319168105,11613.236323350515,19067.466681765316,13664.383963295015,9090.834010409984,1723.3376408901577,0.0,53435.92097882083
RIVER,50214.17199939722,17858.973103162,13348.583285779978,13922.584376390056,4974.305460548478,707.8827862889885,0.0,50104.44622588051
LOYALTON,46721.06157805073,1569.885198999048,22847.956623369628,15735.102349451712,5194.6987502790425,1.5567639032431415,2.891132963165834,45347.64292209943
DOME,44211.33519614121,2710.103560702989,40725.833288213864,0.0,0.0,0.0,0.0,43435.936848916856
APPLE,33235.78804071304,1008.5606144582352,9865.212854851789,14188.123819314671,7414.644076303763,3.5583174931271806,0.0,32476.541364928456
LAKE,30999.40386988585,1961.9673077729992,8823.293013895485,13020.328497038994,7035.905658129038,0.2223948433204488,2.223948433204488,30841.494476836517
MINERAL,29666.78123216754,1756.252077701584,9716.208309827087,12433.20611067301,5982.4212853200725,6.227055612972566,0.0,29888.087783521754
SHEEP,29541.33662494793,4240.847267277638,7198.921078282927,7267.863479712267,10457.450322614142,10.230162792740645,0.0,29165.082147886973
SLINK,26751.555321491956,6392.51737640298,13579.873922833243,4859.104931708485,1376.8464749968985,27.57696057173565,0.0,26208.342705941606
GOLD,22652.70356585621,6011.11022010841,7016.112517073519,5474.9162528628085,3133.0985526984823,2.223948433204488,0.0,21635.23754274322
